id;id_cliente;dt_compra;produto;qtde;delivery;pgto
636;2043;07/02/2019;2;2;s;cc
637;;07/02/2019;97;6;n;cd
638;147;07/02/2019;73;6;s;d
639;;07/02/2019;108;4;s;cc
640;4014;07/02/2019;67;1;n;cc
641;4203;07/02/2019;60;2;s;cd
642;2369;07/02/2019;14;4;n;d
643;;07/02/2019;116;2;n;cc
644;;07/02/2019;94;1;n;cc
645;;07/02/2019;102;1;n;d
646;;07/02/2019;113;5;n;d
647;1110;07/02/2019;29;5;n;d
648;;08/02/2019;89;6;n;cd
649;4000;08/02/2019;34;4;n;cc
650;;08/02/2019;89;3;n;cc
651;4232;08/02/2019;23;2;n;cc
652;;08/02/2019;112;1;s;cc
653;842;08/02/2019;10;4;s;cd
654;1111;08/02/2019;23;4;s;cd
655;1343;08/02/2019;44;1;s;cc
656;155;08/02/2019;11;4;n;d
657;;08/02/2019;117;5;s;cd
658;4308;08/02/2019;9;4;n;cd
659;;08/02/2019;99;4;s;d
660;2911;08/02/2019;58;2;n;cd
661;4397;08/02/2019;42;1;;cc
662;3457;08/02/2019;71;6;s;d
663;288;08/02/2019;47;5;n;cd
664;;08/02/2019;78;2;s;cc
665;875;08/02/2019;44;6;n;d
666;2060;08/02/2019;37;4;n;cd
667;3423;08/02/2019;48;5;n;cc
668;4189;08/02/2019;54;1;n;d
669;2862;08/02/2019;44;5;n;d
670;183;08/02/2019;2;4;n;cc
671;1315;08/02/2019;6;1;n;cc
672;595;08/02/2019;19;5;n;cc
673;;08/02/2019;89;2;n;cc
674;787;09/02/2019;72;3;n;d
675;;09/02/2019;81;5;s;cd
676;4683;09/02/2019;16;6;n;cd
677;;09/02/2019;85;4;s;cc
678;;09/02/2019;105;6;n;cd
679;;09/02/2019;108;4;s;cd
680;;09/02/2019;108;6;n;cc
681;;09/02/2019;89;2;;cc
682;4828;09/02/2019;71;4;n;cc
683;;09/02/2019;79;3;n;cc
684;2077;09/02/2019;66;6;n;cc
685;;09/02/2019;112;6;n;cc
686;1428;09/02/2019;30;2;n;cc
687;;09/02/2019;106;1;n;d
688;;09/02/2019;92;6;;d
689;;09/02/2019;103;6;n;d
690;4082;09/02/2019;50;5;n;cc
691;2159;09/02/2019;62;6;n;cc
692;;09/02/2019;95;5;n;cc
693;630;09/02/2019;59;6;n;cc
694;4572;10/02/2019;28;6;n;cc
695;3180;10/02/2019;19;5;n;d
696;3896;10/02/2019;26;5;n;cd
697;;10/02/2019;106;3;n;cc
698;;10/02/2019;89;5;n;cc
699;4441;10/02/2019;22;1;s;d
700;;10/02/2019;78;2;s;cc
701;;10/02/2019;119;4;n;d
702;;10/02/2019;113;3;s;cc
703;1134;10/02/2019;66;3;n;cc
